EventNameFrench,EventNameEnglish,PoliticalInterestCode,PartyFullNameEnglish,PartyFullNameFrench,IsRegistered
Élections partielles provinciale Orléans (76) et Ottawa-Vanier (80) de 2020,2020 Provincial By-elections Orléans (76) and Ottawa-Vanier (80),OAL,Ontario Alliance,Alliance de l'Ontario,1
Élections partielles provinciale Orléans (76) et Ottawa-Vanier (80) de 2020,2020 Provincial By-elections Orléans (76) and Ottawa-Vanier (80),NAP,None of the Above Direct Democracy Party,Aucune de ces Réponses Démocratie Directe Parti,1
Élections partielles provinciale Orléans (76) et Ottawa-Vanier (80) de 2020,2020 Provincial By-elections Orléans (76) and Ottawa-Vanier (80),PAU,Pauper Party of Ontario,Parti Pauvre de l'Ontario,1
Élections partielles provinciale Orléans (76) et Ottawa-Vanier (80) de 2020,2020 Provincial By-elections Orléans (76) and Ottawa-Vanier (80),LTN,Ontario Libertarian Party,Parti libertarien de l'Ontario,1
Élections partielles provinciale Orléans (76) et Ottawa-Vanier (80) de 2020,2020 Provincial By-elections Orléans (76) and Ottawa-Vanier (80),LIB,Ontario Liberal Party,Parti libéral de l'Ontario,1
Élections partielles provinciale Orléans (76) et Ottawa-Vanier (80) de 2020,2020 Provincial By-elections Orléans (76) and Ottawa-Vanier (80),IND,Independent,Independent,1
Élections partielles provinciale Orléans (76) et Ottawa-Vanier (80) de 2020,2020 Provincial By-elections Orléans (76) and Ottawa-Vanier (80),PCP,Progressive Conservative Party of Ontario,Parti progressiste-conservateur de l'Ontario,1
Élections partielles provinciale Orléans (76) et Ottawa-Vanier (80) de 2020,2020 Provincial By-elections Orléans (76) and Ottawa-Vanier (80),GPO,Green Party of Ontario,Le Parti Vert de l'Ontario,1
Élections partielles provinciale Orléans (76) et Ottawa-Vanier (80) de 2020,2020 Provincial By-elections Orléans (76) and Ottawa-Vanier (80),NDP,New Democratic Party of Ontario,Nouveau parti démocratique de l'Ontario,1
Élection générale provinciale de 2022,2022 Provincial General Election,NDP,New Democratic Party of Ontario,Nouveau parti démocratique de l'Ontario,1
Élection générale provinciale de 2022,2022 Provincial General Election,GPO,Green Party of Ontario,Parti Vert de l'Ontario,1
Élection générale provinciale de 2022,2022 Provincial General Election,PCP,Progressive Conservative Party of Ontario,Parti progressiste-conservateur de l'Ontario,1
Élection générale provinciale de 2022,2022 Provincial General Election,IND,Independent,Indépendant,1
Élection générale provinciale de 2022,2022 Provincial General Election,LIB,Ontario Liberal Party,Parti libéral de l'Ontario,1
Élection générale provinciale de 2022,2022 Provincial General Election,COM,Communist Party of Canada (Ontario),Parti communiste du Canada (Ontario),1
Élection générale provinciale de 2022,2022 Provincial General Election,COR,Ontario Provincial Confederation of Regions Party,Ontario Provincial Confederation of Regions Party,1
Élection générale provinciale de 2022,2022 Provincial General Election,FRE,Freedom Party of Ontario,Parti de la Liberté - Ontario,1
Élection générale provinciale de 2022,2022 Provincial General Election,LTN,Ontario Libertarian Party,Parti libertarien de l'Ontario,1
Élection générale provinciale de 2022,2022 Provincial General Election,PSN,Party for People with Special Needs,Parti pour les gens qui ont des besoins spéciaux,1
Élection générale provinciale de 2022,2022 Provincial General Election,CCP,Canadians' Choice Party,Le Parti du choix des Canadiens et Canadiennes,1
Élection générale provinciale de 2022,2022 Provincial General Election,NRT,Northern Ontario Party,Parti de l'Ontario Nord,1
Élection générale provinciale de 2022,2022 Provincial General Election,NA,No Affiliation,Aucune Appurtenance,1
Élection générale provinciale de 2022,2022 Provincial General Election,PEO,The People's Political Party,Le Parti Politique du Peuple,1
Élection générale provinciale de 2022,2022 Provincial General Election,NAP,None of the Above Direct Democracy Party,Aucune de ces Réponses Démocratie Directe Parti,1
Élection générale provinciale de 2022,2022 Provincial General Election,MOD,Ontario Moderate Party,Ontario Moderate Party,1
Élection générale provinciale de 2022,2022 Provincial General Election,OAL,Ontario Alliance,Alliance de l'Ontario,1
Élection générale provinciale de 2022,2022 Provincial General Election,SNS,Stop the New Sex-Ed Agenda,Stop the New Sex-Ed Agenda,1
Élection générale provinciale de 2022,2022 Provincial General Election,ONP,Ontario Party,Parti Ontario,1
Élection générale provinciale de 2022,2022 Provincial General Election,CNS,Consensus Ontario,Consensus Ontario,1
Élection générale provinciale de 2022,2022 Provincial General Election,NBO,New Blue Party of Ontario,New Blue Party of Ontario,1
Élection générale provinciale de 2022,2022 Provincial General Election,PPF,People's Progressive Common Front of Ontario,Front populaire progressiste commun de l'Ontario,1
Élection générale provinciale de 2022,2022 Provincial General Election,FPJ,"Freedom of Choice, Peace & Justice Party","Liberti de Choix, Paix & Justice Parti",1
Élection générale provinciale de 2022,2022 Provincial General Election,ERO,Electoral Reform Party,Parti Réforme Électorale,1
Élection générale provinciale de 2022,2022 Provincial General Election,PPR,Populist Party Ontario,Parti Populiste Ontario,1
Élection générale provinciale de 2022,2022 Provincial General Election,CEN,Ontario Centrist Party,Ontario Parti Centriste,1
Élection générale provinciale de 2022,2022 Provincial General Election,BEN,Public Benefit Party of Ontario,Parti d'Intérêt Public de l'Ontario,1
